Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761287744875,165,390,64350,
1761287746167,121,423,51183,
1761287746886,126,418,52668,
1761287747519,113,415,46895,
1761287748199,114,420,47880,
1761287748828,113,421,47573,
1761287749515,112,421,47152,
1761287750194,108,419,45252,
1761287750859,112,420,47040,
1761287752184,101,420,42420,
1761287752827,105,418,43890,
1761287753524,115,418,48070,
1761287754184,114,419,47766,
1761287754896,118,419,49442,
1761287755439,125,421,52625,
1761287755999,123,421,51783,
1761287756706,119,419,49861,
1761287757403,122,421,51362,
1761287758044,125,420,52500,
1761287758764,131,418,54758,
1761287759371,127,421,53467,
1761287760048,127,421,53467,
1761287760717,125,421,52625,
1761287761437,128,421,53888,
1761287762066,123,421,51783,
1761287762723,116,420,48720,
1761287763333,125,422,52750,
1761287764003,128,421,53888,
1761287764688,126,421,53046,
1761287765345,124,420,52080,
1761287766016,123,422,51906,
1761287766669,131,423,55413,
1761287767366,129,416,53664,
1761287768002,122,410,50020,
1761287768716,119,417,49623,
1761287769358,120,418,50160,
1761287770041,122,420,51240,
1761287770701,119,420,49980,
1761287771372,108,414,44712,
1761287772021,107,416,44512,
1761287772759,106,417,44202,
1761287773394,106,417,44202,
1761287774096,100,418,41800,
1761287774740,93,421,39153,
1761287775438,95,416,39520,
1761287776015,94,417,39198,
1761287776693,94,417,39198,
1761287777330,93,416,38688,
1761287778007,92,415,38180,
1761287778608,93,414,38502,
1761287779290,89,410,36490,
1761287779934,104,405,42120,
1761287780604,92,412,37904,
1761287781218,93,416,38688,
1761287781926,86,413,35518,
1761287782496,84,413,34692,
1761287783187,87,411,35757,
1761287783766,88,411,36168,
1761287784348,87,410,35670,
1761287785023,86,411,35346,
1761287785684,90,412,37080,
1761287786340,100,413,41300,
1761287786908,94,413,38822,
1761287787583,91,411,37401,
1761287788228,90,411,36990,
1761287788847,92,410,37720,
1761287789518,90,410,36900,
1761287790147,90,412,37080,
1761287790829,97,402,38994,
1761287791383,106,393,41658,
1761287792074,104,393,40872,
1761287792757,109,393,42837,
1761287793420,105,401,42105,
1761287794136,96,412,39552,
1761287794793,94,413,38822,
