Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761288932920,95,358,34010,
1761288933569,96,354,33984,
1761288934278,106,351,37206,
1761288934974,101,351,35451,
1761288935631,105,357,37485,
1761288936298,112,358,40096,
1761288937007,117,357,41769,
1761288937710,101,354,35754,
1761288938409,94,352,33088,
1761288939099,96,357,34272,
1761288939715,93,357,33201,
1761288940386,88,356,31328,
1761288941087,86,352,30272,
1761288941790,80,355,28400,
1761288942446,78,352,27456,
1761288943096,78,353,27534,
1761288943770,86,354,30444,
1761288944400,79,352,27808,
1761288945070,78,352,27456,
1761288945729,81,353,28593,
1761288946426,86,347,29842,
1761288947041,80,347,27760,
1761288947725,78,348,27144,
1761288948376,79,349,27571,
1761288949061,83,346,28718,
1761288949737,79,348,27492,
1761288950384,80,349,27920,
1761288951068,89,350,31150,
1761288951793,88,345,30360,
1761288952428,88,349,30712,
1761288953099,92,346,31832,
1761288953810,91,344,31304,
1761288954492,95,344,32680,
1761288955135,101,342,34542,
1761288955804,99,340,33660,
1761288956446,97,340,32980,
1761288957156,96,341,32736,
1761288957843,94,344,32336,
1761288958508,98,343,33614,
1761288959182,107,342,36594,
1761288959846,110,340,37400,
1761288960549,111,338,37518,
1761288961235,108,326,35208,
1761288961951,113,327,36951,
1761288962571,107,335,35845,
1761288963262,104,336,34944,
1761288963850,105,334,35070,
1761288964558,105,337,35385,
1761288965194,106,338,35828,
1761288965857,106,338,35828,
1761288966531,103,339,34917,
1761288967260,104,334,34736,
1761288967868,114,334,38076,
1761288968542,110,337,37070,
1761288969207,106,338,35828,
1761288969915,106,338,35828,
1761288970556,109,337,36733,
1761288971239,113,336,37968,
1761288971911,101,339,34239,
1761288972554,102,337,34374,
1761288973237,96,336,32256,
1761288973877,101,338,34138,
1761288974577,104,338,35152,
1761288975229,88,338,29744,
1761288975906,84,337,28308,
1761288976550,82,338,27716,
1761288977235,79,338,26702,
1761288977903,81,338,27378,
1761288978615,81,339,27459,
1761288979231,81,338,27378,
1761288979970,84,334,28056,
1761288980583,89,329,29281,
1761288981196,89,328,29192,
1761288981824,91,328,29848,
1761288982533,87,331,28797,
1761288983223,88,332,29216,
1761288983915,94,337,31678,
1761288984574,86,338,29068,
1761288985266,85,341,28985,
1761288985925,83,340,28220,
1761288986619,80,342,27360,
1761288987367,78,344,26832,
1761288988054,78,345,26910,
1761288988746,79,346,27334,
1761288989398,79,351,27729,
1761288990145,77,343,26411,
1761288990848,74,347,25678,
1761288991562,72,339,24408,
1761288992268,73,342,24966,
1761288992909,72,345,24840,
1761288993493,76,352,26752,
1761288994173,76,351,26676,
1761288994875,85,350,29750,
1761288995570,77,345,26565,
1761288996202,73,342,24966,
1761288996858,82,329,26978,
1761288997565,86,339,29154,
1761288998208,91,338,30758,
1761288998935,82,347,28454,
1761288999557,77,346,26642,
1761289000251,80,348,27840,
1761289000868,81,350,28350,
1761289001555,83,352,29216,
1761289002169,72,350,25200,
1761289002854,77,349,26873,
1761289003522,79,349,27571,
1761289004213,78,350,27300,
1761289004879,85,347,29495,
1761289005546,90,352,31680,
1761289006195,93,353,32829,
1761289006817,90,352,31680,
1761289007548,92,352,32384,
1761289008185,96,352,33792,
1761289008820,100,346,34600,
1761289009471,104,346,35984,
1761289010143,99,350,34650,
1761289010765,102,351,35802,
1761289011447,99,351,34749,
1761289012687,110,350,38500,
1761289013367,115,348,40020,
1761289014011,110,349,38390,
1761289014703,101,349,35249,
1761289015357,94,349,32806,
1761289016071,98,351,34398,
1761289016702,112,351,39312,
1761289017374,104,350,36400,
1761289017998,100,350,35000,
1761289018677,97,350,33950,
1761289019337,96,348,33408,
1761289020011,97,351,34047,
1761289020698,97,350,33950,
1761289021367,105,350,36750,
1761289022009,118,344,40592,
1761289022697,105,345,36225,
1761289023239,92,348,32016,
1761289023949,89,346,30794,
1761289024600,87,352,30624,
1761289025293,85,352,29920,
1761289025960,92,352,32384,
1761289026603,95,353,33535,
1761289027257,88,351,30888,
1761289027940,88,346,30448,
1761289028588,87,345,30015,
1761289029306,88,350,30800,
1761289029910,89,354,31506,
1761289030605,89,359,31951,
1761289031238,79,354,27966,
1761289031912,78,354,27612,
1761289032599,77,351,27027,
1761289033283,77,346,26642,
1761289033984,77,352,27104,
1761289034636,93,356,33108,
1761289035306,93,352,32736,
1761289035946,93,347,32271,
1761289036613,104,349,36296,
1761289037259,112,351,39312,
1761289037930,107,352,37664,
1761289038632,100,351,35100,
1761289039236,99,349,34551,
1761289039882,105,350,36750,
1761289040550,118,349,41182,
1761289041184,110,350,38500,
1761289041838,103,350,36050,
1761289042550,100,352,35200,
1761289043235,99,348,34452,
1761289043945,99,345,34155,
1761289044577,101,343,34643,
1761289045269,93,347,32271,
1761289045973,94,349,32806,
1761289046656,82,354,29028,
1761289047368,81,349,28269,
1761289048047,85,347,29495,
1761289049346,84,348,29232,
1761289050004,79,353,27887,
1761289050700,78,354,27612,
1761289051278,77,352,27104,
1761289057105,107,349,37343,
1761289057743,71,350,24850,
1761289058453,105,370,38850,
1761289059150,96,363,34848,
1761289059800,104,360,37440,
