Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761290093929,71,271,19241,
1761290094595,95,272,25840,
1761290095275,83,274,22742,
1761290095954,83,275,22825,
1761290096631,83,275,22825,
1761290097322,78,273,21294,
1761290097984,83,270,22410,
1761290098684,90,271,24390,
1761290099316,78,266,20748,
1761290099944,80,252,20160,
1761290100614,74,253,18722,
1761290101280,78,253,19734,
1761290101940,79,252,19908,
1761290103835,76,251,19076,
1761290105175,74,250,18500,
1761290105833,76,249,18924,
1761290107174,76,247,18772,
1761290107861,86,247,21242,
1761290108552,91,248,22568,
1761290109251,87,255,22185,
1761290109914,79,253,19987,
1761290110523,77,251,19327,
1761290111158,77,252,19404,
1761290111846,72,251,18072,
1761290115636,72,253,18216,
1761290116284,67,253,16951,
1761290116947,69,253,17457,
1761290117598,71,262,18602,
1761290118178,67,263,17621,
1761290118827,63,263,16569,
1761290119786,69,264,18216,
1761290120450,62,266,16492,
1761290121128,60,267,16020,
1761290121814,67,263,17621,
1761290122757,64,265,16960,
1761290123396,67,266,17822,
1761290124090,60,266,15960,
1761290125026,57,267,15219,
1761290125688,56,267,14952,
1761290126362,58,260,15080,
1761290127043,55,265,14575,
1761290127812,55,266,14630,
1761290128638,61,265,16165,
1761290129260,67,267,17889,
1761290129935,66,267,17622,
1761290130821,64,266,17024,
1761290131545,77,264,20328,
1761290132195,76,265,20140,
1761290132877,75,264,19800,
1761290133540,75,265,19875,
1761290134177,89,264,23496,
1761290134860,81,266,21546,
1761290135496,81,265,21465,
1761290136167,79,266,21014,
1761290136834,79,265,20935,
1761290137490,82,264,21648,
1761290138178,90,263,23670,
1761290138857,96,261,25056,
1761290139506,88,264,23232,
1761290140174,76,265,20140,
1761290140836,79,263,20777,
1761290141512,90,260,23400,
1761290142205,90,257,23130,
1761290142851,79,261,20619,
1761290143521,71,261,18531,
1761290144138,71,261,18531,
1761290144797,71,258,18318,
1761290145510,60,260,15600,
1761290146149,58,262,15196,
1761290146817,61,262,15982,
1761290147522,60,260,15600,
1761290148162,59,260,15340,
1761290148859,61,259,15799,
1761290149504,72,264,19008,
1761290151909,72,265,19080,
1761290152581,69,265,18285,
1761290153289,73,266,19418,
1761290153952,80,265,21200,
1761290154643,80,264,21120,
1761290155322,74,263,19462,
1761290156026,81,263,21303,
1761290156699,87,263,22881,
1761290157359,82,263,21566,
1761290158053,78,261,20358,
1761290158653,83,259,21497,
1761290159328,83,259,21497,
1761290159934,76,260,19760,
1761290160628,76,259,19684,
1761290161338,77,258,19866,
1761290161962,75,251,18825,
1761290163183,74,257,19018,
1761290163872,77,259,19943,
1761290164483,76,258,19608,
1761290165139,74,259,19166,
1761290165786,70,261,18270,
1761290166336,64,260,16640,
1761290167027,60,259,15540,
1761290167666,58,260,15080,
