Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1760272469562,455,472,214760,726.0
1760272470497,300,473,141900,1052.2
1760272471026,277,472,130744,1076.0
1760272471530,242,473,114466,1092.6
1760272471998,256,473,121088,1100.0
1760272472476,257,472,121304,1100.2
1760272472953,257,472,121304,1103.6
1760272473478,260,472,122720,1096.6
1760272473976,255,473,120615,1093.4
1760272474513,252,473,119196,1085.4
1760272475020,242,472,114224,1060.0
1760272475507,229,472,108088,1049.6
1760272475912,230,471,108330,1056.0
1760272476350,228,472,107616,1051.8
1760272476838,229,471,107859,1053.2
1760272477305,228,472,107616,1057.0
1760272477785,228,472,107616,1055.2
1760272478292,346,470,162620,1023.0
1760272478724,361,470,169670,1022.0
1760272479184,359,473,169807,1025.2
1760272479676,415,472,195880,1011.8
1760272480164,502,473,237446,1034.4
1760272480661,480,472,226560,1011.4
1760272481160,416,470,195520,1024.0
1760272481689,332,471,156372,1015.2
1760272482222,211,472,99592,991.2
1760272482698,219,472,103368,986.2
1760272483165,211,473,99803,981.0
1760272483634,195,473,92235,999.8
1760272484116,188,472,88736,1015.2
1760272484611,184,472,86848,1003.8
1760272485126,172,471,81012,960.6
1760272485650,176,472,83072,934.6
1760272486178,169,472,79768,941.6
1760272486661,163,470,76610,987.2
1760272487185,157,470,73790,981.0
1760272487687,160,470,75200,967.6
1760272488098,159,470,74730,953.8
1760272489086,164,471,77244,1007.8
1760272489595,161,469,75509,985.2
1760272490513,179,471,84309,937.8
1760272491490,189,472,89208,997.8
1760272492947,224,470,105280,924.8
1760272493468,229,470,107630,929.2
1760272493956,228,470,107160,936.6
1760272494421,231,470,108570,941.4
1760272494915,240,469,112560,931.6
1760272495425,240,469,112560,921.6
1760272495940,241,469,113029,928.2
1760272496429,230,470,108100,942.2
1760272496904,229,472,108088,952.0
1760272497400,252,473,119196,943.8
1760272497861,268,470,125960,926.6
1760272498349,263,471,123873,924.2
1760272498773,263,471,123873,947.0
1760272499287,276,470,129720,942.8
1760272499771,284,472,134048,943.4
1760272500242,276,472,130272,956.4
1760272500712,278,472,131216,973.2
1760272501141,282,472,133104,969.4
1760272501558,283,472,133576,969.0
1760272502055,277,472,130744,972.4
1760272502538,276,472,130272,974.6
1760272503055,271,472,127912,979.2
1760272503560,270,472,127440,994.4
1760272504041,263,472,124136,980.6
1760272504478,261,470,122670,960.6
1760272504497,258,466,120228,997.8
1760272504983,263,472,124136,974.2
1760272505477,265,472,125080,983.8
1760272505978,256,472,120832,943.6
1760272506460,252,474,119448,943.0
1760272506913,231,470,108570,957.6
1760272507385,232,470,109040,958.4
1760272507859,236,473,111628,947.8
1760272508340,239,470,112330,965.0
1760272508831,228,471,107388,971.0
1760272509331,223,470,104810,955.6
1760272509838,208,470,97760,967.0
1760272510284,201,470,94470,978.8
1760272510753,190,470,89300,985.4
1760272511192,184,470,86480,992.8
1760272511645,181,470,85070,1002.2
1760272512161,169,470,79430,994.8
1760272512674,173,470,81310,975.8
1760272513181,164,471,77244,989.0
1760272513629,161,471,75831,978.6
1760272514121,183,471,86193,957.4
1760272514609,177,471,83367,979.0
1760272515088,177,471,83367,989.2
1760272515583,200,471,94200,1012.2
1760272516051,188,471,88548,1040.0
1760272516540,227,471,106917,1045.2
1760272517028,239,470,112330,1054.6
1760272517524,236,471,111156,1088.0
1760272518017,247,473,116831,1115.8
1760272518526,245,473,115885,1114.4
1760272519007,259,473,122507,1127.4
1760272519506,250,473,118250,1121.4
1760272520013,250,473,118250,1122.8
1760272520502,257,473,121561,1105.0
1760272520959,317,472,149624,971.4
1760272599311,216,471,101736,895.0
1760272599792,252,471,118692,993.2
1760272600271,301,472,142072,1120.6
1760272600752,250,473,118250,1155.4
1760272601270,256,472,120832,1156.0
1760272601773,275,472,129800,1169.75
1760272602236,276,474,130824,1130.2
1760272602696,282,473,133386,1068.4
1760272603144,282,473,133386,1038.4
1760272603624,278,472,131216,1025.8
1760272604102,285,473,134805,1021.0
1760272604563,288,473,136224,996.2
1760272605083,283,473,133859,978.6
1760272605584,291,474,137934,1005.4
1760272606070,299,472,141128,1016.0
1760272606543,300,473,141900,976.8
1760272607053,301,472,142072,985.8
1760272607535,293,472,138296,994.4
1760272608010,288,473,136224,1007.6
1760272608505,279,473,131967,1026.8
1760272608954,274,473,129602,1033.2
1760272609454,263,472,124136,1038.0
1760272609961,266,472,125552,1052.0
1760272610416,268,471,126228,1016.4
1760272610861,265,471,124815,1001.2
1760272611334,264,471,124344,1003.6
1760272611793,263,471,123873,1009.6
1760272612272,271,472,127912,994.4
1760272612763,294,472,138768,990.2
1760272613245,325,471,153075,896.6
1760272615930,322,471,151662,868.4
1760272616328,246,470,115620,988.6
1760272616768,266,470,125020,981.2
1760272617248,257,470,120790,996.6
1760272617734,240,470,112800,1025.8
1760272618215,231,471,108801,1022.4
1760272618694,223,471,105033,1035.0
1760272619159,214,471,100794,1032.2
1760272619647,218,470,102460,1043.4
1760272620103,219,471,103149,1056.6
1760272620574,203,470,95410,1037.2
1760272621059,200,469,93800,1060.0
1760272621532,197,471,92787,1029.0
1760272622025,190,471,89490,1062.75
1760272622536,181,472,85432,945.0
1760272623017,177,469,83013,921.2
1760272623517,184,470,86480,904.0
1760272624009,200,470,94000,842.3333333333334
1760272624496,219,470,102930,817.0
1760272624984,232,470,109040,828.0
1760272625462,232,471,109272,811.5
1760272625926,221,469,103649,817.0
1760272626319,237,469,111153,809.0
1760272627334,239,470,112330,807.0
1760272627791,251,472,118472,857.5
1760272628309,258,471,121518,845.4
1760272628798,271,472,127912,843.0
1760272629282,258,472,121776,845.2
1760272629774,263,471,123873,878.6
1760272630268,258,472,121776,896.2
1760272630744,249,472,117528,897.4
1760272631228,241,471,113511,898.2
1760272631713,258,471,121518,942.6
1760272632168,244,471,114924,936.8
1760272632658,241,471,113511,947.2
1760272633145,249,472,117528,979.2
1760272633649,249,472,117528,985.4
1760272634145,251,471,118221,970.2
1760272634606,256,472,120832,1000.0
1760272635080,239,472,112808,1030.6
1760272635559,241,473,113993,1046.25
1760272636016,238,472,112336,1050.0
1760272636498,256,472,120832,1034.0
1760272637001,239,472,112808,1036.6
1760272637535,245,473,115885,1040.0
1760272638034,243,473,114939,1051.75
1760272638521,241,473,113993,1029.4
1760272639033,244,473,115412,1025.2
1760272639480,242,473,114466,1032.2
1760272639959,239,471,112569,985.0
1760272640466,248,473,117304,1009.0
1760272640907,236,473,111628,1014.6666666666666
1760272641378,234,469,109746,991.6666666666666
1760272641873,217,469,101773,1078.0
1760272642329,207,470,97290,1184.0
1760272642810,206,470,96820,1169.0
1760272648177,191,471,89961,939.5
1760272648680,192,472,90624,941.5
1760272649221,212,472,100064,927.75
1760272649662,217,472,102424,905.5
1760272650147,227,471,106917,894.4
1760272650642,224,473,105952,957.75
1760272651145,232,472,109504,968.0
1760272651624,253,472,119416,966.8
1760272652109,241,472,113752,923.0
