Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761291009851,81,230,18630,
1761291010552,50,222,11100,
1761291011243,51,220,11220,
1761291011896,51,220,11220,
1761291012610,55,220,12100,
1761291013295,56,220,12320,
1761291013945,54,219,11826,
1761291014662,56,216,12096,
1761291015301,47,214,10058,
1761291015982,48,206,9888,
1761291016539,46,204,9384,
1761291017200,46,205,9430,
1761291017858,46,205,9430,
1761291018495,56,201,11256,
1761291019136,50,206,10300,
1761291019742,54,205,11070,
1761291020429,59,206,12154,
1761291021698,69,203,14007,
1761291022936,64,203,12992,
1761291023510,60,202,12120,
1761291024197,59,202,11918,
1761291024828,61,202,12322,
1761291026080,60,201,12060,
1761291026780,61,201,12261,
1761291027476,67,202,13534,
1761291028736,63,201,12663,
1761291029401,63,201,12663,
1761291030079,64,201,12864,
1761291030768,65,200,13000,
1761291031400,65,200,13000,
1761291032098,65,200,13000,
1761291032788,65,200,13000,
1761291033986,62,197,12214,
1761291034674,66,199,13134,
1761291035311,70,200,14000,
1761291037698,70,199,13930,
1761291038360,70,200,14000,
1761291039026,70,199,13930,
1761291046828,62,205,12710,
1761291047473,58,202,11716,
1761291057980,48,216,10368,
1761291058616,48,217,10416,
1761291059245,48,215,10320,
1761291059943,48,216,10368,
1761291060590,45,215,9675,
1761291061278,47,215,10105,
1761291072436,55,215,11825,
1761291073127,51,215,10965,
1761291073805,54,215,11610,
1761291074492,57,216,12312,
1761291075167,56,216,12096,
1761291075807,56,216,12096,
1761291076486,55,216,11880,
1761291077152,56,216,12096,
1761291077805,54,216,11664,
1761291078462,55,220,12100,
1761291081059,62,224,13888,
1761291081740,74,244,18056,
1761291431016,63,207,13041,
1761291431705,61,208,12688,
1761291432342,60,210,12600,
1761291432939,61,209,12749,
1761291433598,62,209,12958,
1761291434283,69,209,14421,
1761291434956,63,208,13104,
1761291435680,62,207,12834,
1761291436332,62,208,12896,
1761291436984,62,210,13020,
1761291437677,69,208,14352,
1761291438360,71,206,14626,
1761291439615,63,208,13104,
1761291440271,62,207,12834,
1761291440949,60,207,12420,
1761291441650,59,207,12213,
1761291442348,58,207,12006,
1761291443017,59,205,12095,
1761291443604,57,208,11856,
1761291444170,48,208,9984,
1761291444882,45,209,9405,
1761291447371,55,210,11550,
1761291448024,54,212,11448,
1761291448701,54,216,11664,
1761291449349,53,214,11342,
1761291449979,55,215,11825,
1761291450613,51,219,11169,
1761291451287,50,219,10950,
1761291451968,51,217,11067,
1761291452638,58,214,12412,
1761291453237,57,217,12369,
1761291453841,55,219,12045,
1761291454512,58,220,12760,
1761291455177,59,219,12921,
1761291455869,60,218,13080,
1761291456540,62,218,13516,
1761291457237,68,218,14824,
1761291457942,63,219,13797,
1761291458667,61,218,13298,
1761291459325,67,218,14606,
1761291460022,69,218,15042,
1761291460702,75,216,16200,
1761291461362,68,218,14824,
1761291461988,67,219,14673,
1761291462667,69,215,14835,
1761291463339,73,216,15768,
1761291463998,79,217,17143,
1761291464667,66,216,14256,
1761291465321,58,213,12354,
1761291465938,52,215,11180,
1761291466583,48,215,10320,
1761291467252,47,214,10058,
1761291467881,46,215,9890,
1761291468586,56,216,12096,
1761291470360,58,210,12180,
1761291471650,50,216,10800,
1761291472329,52,216,11232,
1761291472967,52,216,11232,
1761291473652,55,214,11770,
1761291474286,58,214,12412,
1761291474953,63,217,13671,
1761291475628,63,216,13608,
1761291476334,66,216,14256,
