Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1760273173263,224,465,104160,1447.5
1760273173720,223,466,103918,1427.25
1760273174220,228,466,106248,1389.6666666666667
1760273174682,229,464,106256,1444.5
1760273175175,232,462,107184,1395.3333333333333
1760273175696,230,463,106490,1395.6666666666667
1760273176146,227,465,105555,1406.3333333333333
1760273176632,222,464,103008,1360.5
1760273177134,222,466,103452,1371.0
1760273177618,211,468,98748,1403.0
1760273178548,200,461,92200,1431.5
1760273195027,230,472,108560,1290.5
1760273214136,235,466,109510,1353.5
1760273214623,238,464,110432,1367.0
1760273217400,216,453,97848,1332.5
1760273218388,203,420,85260,1264.5
1760273229317,220,471,103620,1471.3333333333333
1760273229805,238,473,112574,1450.0
1760273230302,224,473,105952,1389.25
1760273230760,235,472,110920,1442.2
1760273231250,238,466,110908,1485.8
1760273231703,215,472,101480,1472.6
1760273232197,223,474,105702,1473.4
1760273232706,236,472,111392,1593.0
1760273242551,258,473,122034,1436.5
1760273243042,242,472,114224,1372.6666666666667
1760273244529,229,472,108088,1511.5
1760273267281,215,471,101265,1493.75
1760273272358,221,471,104091,1575.6666666666667
1760273274285,246,471,115866,1600.0
1760273274781,223,471,105033,1612.3333333333333
1760616773606,207,473,97911,1288.0
1760616774115,239,474,113286,1352.4
1760616775046,213,472,100536,1362.4
1760616775509,218,473,103114,1358.8
1760616776059,221,474,104754,1358.8
1760616776546,219,474,103806,1373.0
1760616777075,218,474,103332,1386.75
1760616778049,228,473,107844,1297.8
1760616778531,233,473,110209,1293.0
1760616779036,238,473,112574,1315.2
1760616779541,241,473,113993,1792.6
1760616780431,216,473,102168,1420.0
1760616783299,203,472,95816,1500.8
1760616783799,205,472,96760,1496.5
1760616784351,204,471,96084,1509.5
1760616784798,202,471,95142,1538.0
1760616785294,203,471,95613,1520.75
1760616785785,201,472,94872,1548.2
1760616786300,195,472,92040,1566.4
1760616786772,190,472,89680,1574.0
1760616787267,186,473,87978,1549.6
1760616787267,87,466,40542,1549.6
1760616787725,169,472,79768,1565.6
1760616787725,148,459,67932,1565.6
1760616788242,169,472,79768,1586.6
1760616788242,184,462,85008,1586.6
1760616788733,181,473,85613,1594.8
1760616788733,199,464,92336,1594.8
1760616788733,200,126,25200,1594.8
1760616792534,128,472,60416,1555.8
1760616793040,119,476,56644,1554.0
1760616793534,134,474,63516,1550.6
1760616793984,131,474,62094,1537.6
1760616794473,132,475,62700,1507.6
1760616794962,135,473,63855,1487.0
1760616795479,120,473,56760,1460.0
1760616795960,120,474,56880,1418.2
1760616796470,122,473,57706,1405.6
1760616796942,118,473,55814,1414.8
1760616797432,119,474,56406,1417.2
1760616797945,118,474,55932,1427.2
1760616798408,122,473,57706,1425.2
1760616798903,130,472,61360,1404.0
1760616798903,45,412,18540,1404.0
1760616799400,137,472,64664,1386.6
1760616799884,144,472,67968,1401.8
1760616800413,159,473,75207,1413.6
1760616800935,164,473,77572,1415.6
1760616801456,153,474,72522,1400.6
1760616801968,151,474,71574,1422.0
1760616801968,37,396,14652,1422.0
1760616802006,147,468,68796,1282.2
1760616802006,37,393,14541,1282.2
1760616802497,149,474,70626,1423.2
1760616802497,67,476,31892,1423.2
1760616803010,144,473,68112,1426.4
1760616803010,80,476,38080,1426.4
1760616803508,144,473,68112,1408.6
1760616803508,90,476,42840,1408.6
1760616804064,144,476,68544,1404.8
1760616804064,146,474,69204,1404.8
1760616804601,179,476,85204,1456.4
1760616804601,145,474,68730,1456.4
1760616804642,177,468,82836,1410.4
1760616804642,145,474,68730,1410.4
1760616805145,196,476,93296,1480.8
1760616805145,145,474,68730,1480.8
1760616805185,194,469,90986,1402.6
1760616805185,145,474,68730,1402.6
1760616805666,192,476,91392,1464.2
1760616805666,146,475,69350,1464.2
1760616805707,190,469,89110,1397.6
1760616805707,146,475,69350,1397.6
1760616806200,199,476,94724,1491.2
1760616806200,180,473,85140,1491.2
1760616806722,213,476,101388,1497.0
1760616806722,165,473,78045,1497.0
1760616806763,208,471,97968,1297.4
1760616806763,165,475,78375,1297.4
1760616807257,213,476,101388,1507.0
1760616807257,183,474,86742,1507.0
1760616807297,208,471,97968,1250.2
1760616807297,184,473,87032,1250.2
1760616807784,218,476,103768,1535.2
1760616807784,201,473,95073,1535.2
1760616808286,219,477,104463,1506.8
1760616808286,195,472,92040,1506.8
1760616808793,216,477,103032,1505.8
1760616808793,202,473,95546,1505.8
1760616809274,220,477,104940,1498.8
1760616809274,199,473,94127,1498.8
1760616809779,217,477,103509,1500.0
1760616809779,170,473,80410,1500.0
1760616810288,211,477,100647,1476.4
1760616810288,139,474,65886,1476.4
1760616810810,214,477,102078,1479.4
1760616810810,129,473,61017,1479.4
1760616810851,212,469,99428,1352.2
1760616810851,129,474,61146,1352.2
1760616811323,104,477,49608,1382.8
1760616811323,126,474,59724,1382.8
1760616811773,165,476,78540,1499.0
1760616811773,122,472,57584,1499.0
1760616811814,163,468,76284,1409.0
1760616811814,122,472,57584,1409.0
1760616812330,123,474,58302,1420.6
1760616812330,73,476,34748,1420.6
1760616812859,123,472,58056,1399.4
1760616812859,82,471,38622,1399.4
1760616812899,123,472,58056,1420.8
1760616812899,81,402,32562,1420.8
1760616813351,125,474,59250,1417.0
1760616813390,122,469,57218,1327.2
1760616813897,125,474,59250,1414.6
1760616813897,39,436,17004,1414.6
1760616813937,120,470,56400,1303.6
1760616813937,38,436,16568,1303.6
1760616814413,124,471,58404,1391.2
1760616814413,62,469,29078,1391.2
1760616814452,119,469,55811,1310.8
1760616814452,62,469,29078,1310.8
1760616814930,125,471,58875,1326.0
1760616814930,80,470,37600,1326.0
1760616814970,125,471,58875,1388.8
1760616814970,79,416,32864,1388.8
1760616815428,127,472,59944,1363.8
1760616815428,124,471,58404,1363.8
1760616815467,123,471,57933,1383.6
1760616815467,123,415,51045,1383.6
1760616815957,190,474,90060,1410.2
1760616815957,123,471,57933,1410.2
1760616815997,185,470,86950,1394.0
1760616815997,123,471,57933,1394.0
1760616816495,206,475,97850,1429.2
1760616816495,175,474,82950,1429.2
1760616816535,215,468,100620,1390.0
1760616816535,130,473,61490,1390.0
1760616817017,196,474,92904,1386.2
1760616817017,258,474,122292,1386.2
1760616817508,275,473,130075,1368.8
1760616817508,166,473,78518,1368.8
1760616817971,267,473,126291,1341.6
1760616817971,155,472,73160,1341.6
1760616818465,135,474,63990,1419.5
1760616818465,277,475,131575,1419.5
1760616838922,143,474,67782,1743.6666666666667
1760616839447,138,474,65412,1316.75
1760616839997,140,471,65940,1316.75
1760616840542,144,473,68112,1250.6666666666667
1760616841528,143,473,67639,1243.3333333333333
1760616842018,146,473,69058,1214.0
1760616842583,146,473,69058,1274.0
1760616843113,145,473,68585,1284.5
1760616843613,144,473,68112,1235.6666666666667
1760616844115,142,473,67166,1282.0
1760616844609,143,473,67639,1207.0
1760616845585,145,473,68585,1335.0
1760616846048,144,473,68112,1266.0
1760616846552,142,473,67166,1243.3333333333333
1760616847073,140,473,66220,1250.6666666666667
1760616850761,193,473,91289,1221.0
1760616859172,171,473,80883,1722.8
1760616859636,188,474,89112,1688.75
1760616862041,191,474,90534,1661.0
1760616862577,191,474,90534,1665.3333333333333
1760616863093,190,474,90060,1664.0
1760617136376,142,472,67024,
1760617136908,173,472,81656,
1760617137402,182,473,86086,
1760617137906,187,472,88264,
1760617138394,190,473,89870,
1760617138857,190,472,89680,
1760617139369,192,473,90816,
1760617139826,192,474,91008,
1760617140323,204,473,96492,
1760617140841,200,473,94600,
1760617141265,207,474,98118,
1760617141760,210,474,99540,
1760617142246,211,474,100014,
1760617142763,218,473,103114,
1760617143247,218,473,103114,
1760617143713,204,473,96492,
1760617144214,196,474,92904,
1760617144708,193,474,91482,
1760617145178,193,474,91482,
1760617145675,192,473,90816,
1760617146192,186,473,87978,
1760617146664,162,473,76626,
1760617147145,148,472,69856,
1760617147636,138,472,65136,
1760617148111,120,472,56640,
1760617148611,119,472,56168,
1760617149105,120,472,56640,
1760617149651,133,473,62909,
1760617150158,145,472,68440,
1760617150668,146,474,69204,
1760617151160,146,475,69350,
1760617151659,144,475,68400,
1760617152168,145,475,68875,
1760617152636,146,475,69350,
1760617153188,146,475,69350,
1760617153677,147,475,69825,
1760617154191,149,475,70775,
1760617154717,150,475,71250,
1760617155202,149,472,70328,
1760617155723,148,472,69856,
1760617156247,150,472,70800,
1760617156712,180,472,84960,
1760617157225,192,472,90624,
1760617157749,202,473,95546,
1760617158244,182,473,86086,
1760617158717,185,473,87505,
1760617159239,188,473,88924,
1760617159768,187,474,88638,
1760617160275,188,475,89300,
1760617160791,192,475,91200,
1760617161318,184,475,87400,
1760617161807,162,474,76788,
1760617162330,156,472,73632,
1760617162852,155,472,73160,
1760617163348,147,472,69384,
1760617163876,149,472,70328,
1760617164403,151,471,71121,
1760617164892,151,471,71121,
1760617165420,151,471,71121,
1760617165925,147,471,69237,
1760617166444,140,471,65940,
1760617166980,134,473,63382,
1760617167549,129,472,60888,
1760617168097,129,473,61017,
1760617168665,136,472,64192,
1760617169198,139,472,65608,
1760617169693,125,473,59125,
1760617170185,112,475,53200,
1760617170666,110,473,52030,
1760617171136,115,474,54510,
1760617171626,117,475,55575,
1760617172104,117,474,55458,
1760617172588,115,473,54395,
1760617173073,113,473,53449,
1760617173553,117,474,55458,
1760617174062,121,472,57112,
1760617174550,122,473,57706,
1760617175081,125,474,59250,
1760617175589,131,474,62094,
1760617176094,138,476,65688,
1760617176618,142,474,67308,
1760617177136,140,474,66360,
1760617177651,140,474,66360,
1760617178131,143,474,67782,
1760617178602,157,475,74575,
1760617179121,154,474,72996,
1760617179632,151,473,71423,
1760617180151,152,473,71896,
1760617180692,152,473,71896,
1760617181229,152,473,71896,
1760617181759,151,473,71423,
1760617182261,152,473,71896,
1760617182790,149,474,70626,
1760617183322,152,473,71896,
1760617183824,157,473,74261,
1760617184345,169,474,80106,
1760617184840,171,474,81054,
1760617185373,173,472,81656,
1760617185893,175,473,82775,
1760617186374,172,472,81184,
1760617186893,170,472,80240,
1760617187450,170,472,80240,
1760617187985,175,474,82950,
1760617188521,184,475,87400,
1760617189060,193,475,91675,
1760617189548,202,473,95546,
1760617190091,209,474,99066,
1760617190623,207,474,98118,
1760617191163,208,474,98592,
1760617191701,206,474,97644,
1760617192202,207,474,98118,
1760617192721,207,475,98325,
1760617193196,206,475,97850,
1760617193685,206,475,97850,
1760617194182,203,475,96425,
1760617194730,189,473,89397,
1760617195245,181,474,85794,
1760617195804,186,474,88164,
1760617196342,189,473,89397,
1760617196852,190,474,90060,
1760617197375,191,474,90534,
1760617197924,187,474,88638,
1760617198545,170,473,80410,
1760617199087,164,473,77572,
1760617199698,166,474,78684,
1760617200345,153,477,72981,
1760617200958,156,474,73944,
1760617201488,156,475,74100,
1760617201978,136,474,64464,
1760617202493,135,473,63855,
1760617202970,133,474,63042,
1760617203503,130,474,61620,
1760617204030,125,474,59250,
1760617204530,120,475,57000,
1760617205507,112,473,52976,
1760617206460,112,473,52976,
1760617206970,114,475,54150,
1760617207463,117,474,55458,
1760617207984,116,474,54984,
1760617208511,113,474,53562,
1760617211309,115,475,54625,
1760617216130,125,472,59000,
1760617216661,120,473,56760,
1760617217138,125,472,59000,
1760617217651,115,473,54395,
1760617218146,114,472,53808,
1760617218694,113,474,53562,
1760617219198,113,474,53562,
1760617219712,112,475,53200,
1760617220238,111,472,52392,
1760617220771,113,474,53562,
1760617221294,113,474,53562,
1760617221806,113,474,53562,
1760617222283,112,472,52864,
1760617222789,114,472,53808,
1760617223302,120,472,56640,
1760617223833,118,472,55696,
1760617224297,117,472,55224,
1760617224823,121,473,57233,
1760617225351,129,474,61146,
1760617225874,125,473,59125,
1760617226367,125,472,59000,
1760617226888,128,473,60544,
1760617227413,137,475,65075,
1760617227914,136,475,64600,
1760617228400,135,474,63990,
1760617228904,123,474,58302,
1760617229432,120,473,56760,
1760617230391,118,473,55814,
1760617230915,123,474,58302,
1760617231453,129,473,61017,
1760617231963,151,473,71423,
1760617232533,167,473,78991,
1760617233065,176,473,83248,
1760617233581,181,474,85794,
1760617234086,180,474,85320,
1760617234616,181,474,85794,
1760617235136,180,474,85320,
1760617235696,181,474,85794,
1760617236187,182,474,86268,
1760617236659,190,473,89870,
1760617237161,166,475,78850,
1760617237654,166,474,78684,
1760617238156,165,474,78210,
1760617238682,188,474,89112,
1760617239228,189,473,89397,
1760617239764,138,473,65274,
1760617240267,155,474,73470,
1760617240767,124,472,58528,
1760617241295,161,475,76475,
1760617241857,190,472,89680,
1760617242379,188,471,88548,
1760617242909,183,472,86376,
1760617243426,179,472,84488,
1760617243952,176,473,83248,
1760617244447,150,473,70950,
1760617244984,132,472,62304,
1760617245528,125,473,59125,
1760617245970,132,473,62436,
1760617246459,169,473,79937,
1760617246991,196,473,92708,
1760617247545,192,473,90816,
1760617248073,194,473,91762,
1760617248550,197,473,93181,
1760617249082,157,473,74261,
1760617249590,163,472,76936,
1760617250089,136,473,64328,
1760617250587,152,473,71896,
1760617251106,172,474,81528,
1760617251658,118,472,55696,
1760617252159,126,473,59598,
1760617252718,126,474,59724,
1760617253223,167,472,78824,
1760617253761,116,473,54868,
1760617254257,188,473,88924,
1760617254771,167,471,78657,
1760617255296,163,474,77262,
1760617255814,147,474,69678,
1760617256303,147,474,69678,
1760617256829,181,474,85794,
1760617257355,179,475,85025,
1760617257874,160,475,76000,
1760617258404,142,473,67166,
1760617258915,190,474,90060,
1760617259404,196,475,93100,
1760617259920,196,473,92708,
1760617260424,193,475,91675,
1760617260970,172,475,81700,
1760617261480,128,475,60800,
1760617261986,130,474,61620,
1760617262495,129,474,61146,
1760617263017,117,475,55575,
1760617263472,105,475,49875,
1760617264023,109,473,51557,
1760617264556,110,473,52030,
1760617265069,108,475,51300,
1760617265573,104,474,49296,
1760617266062,107,473,50611,
1760617266591,112,475,53200,
1760617267125,115,473,54395,
1760617267636,113,475,53675,
1760617268134,112,475,53200,
1760617268626,120,474,56880,
1760617269159,127,473,60071,
1760617269664,175,474,82950,
1760617270184,120,475,57000,
1760617270675,205,474,97170,
1760617271194,181,474,85794,
1760617271680,141,474,66834,
1760617272222,132,473,62436,
1760617272717,141,473,66693,
1760617273231,200,471,94200,
1760617273752,265,473,125345,
1760617274250,184,474,87216,
1760617274771,175,474,82950,
1760617275290,304,473,143792,
1760617275853,291,474,137934,
1760617276352,239,472,112808,
1760617276868,175,473,82775,
1760617277360,183,474,86742,
1760617277822,177,474,83898,
1760617278342,146,471,68766,
1760617278847,151,474,71574,
1760617279384,141,474,66834,
1760617279881,158,474,74892,
1760617280381,146,475,69350,
1760617280866,139,475,66025,
1760617281402,143,472,67496,
1760617281934,145,473,68585,
1760617282382,143,473,67639,
1760617282901,146,473,69058,
1760617283448,146,473,69058,
1760617283975,143,474,67782,
1760617284494,140,474,66360,
1760617284991,139,473,65747,
1760617285513,142,473,67166,
1760617286004,142,473,67166,
1760617286494,143,473,67639,
1760617287001,141,474,66834,
1760617287511,140,474,66360,
1760617288010,142,474,67308,
1760617288518,145,473,68585,
1760617289022,143,474,67782,
1760617289500,144,473,68112,
1760617290013,144,474,68256,
1760617290469,139,474,65886,
1760617290975,134,474,63516,
1760617291495,119,472,56168,
1760617292023,117,473,55341,
1760617292557,124,472,58528,
1760617293074,121,474,57354,
1760617293530,118,472,55696,
1760617294031,124,472,58528,
1760617296909,112,473,52976,
1760617297435,112,472,52864,
1760617297970,119,472,56168,
1760617298456,117,472,55224,
1760617298988,117,472,55224,
1760617299486,115,472,54280,
1760617299995,111,472,52392,
1760617300526,127,473,60071,
1760617301013,238,471,112098,
1760617304846,239,471,112569,
1760617305373,208,473,98384,
1760617305910,151,473,71423,
1760617306422,144,471,67824,
1760617306938,144,471,67824,
1760617307474,141,471,66411,
1760617307983,137,471,64527,
1760617308513,127,472,59944,
1760617309021,121,473,57233,
1760617309549,121,472,57112,
1760617311490,143,472,67496,
1760617312040,171,474,81054,
1760617317690,157,472,74104,
1760617318191,158,473,74734,
1760617318741,172,472,81184,
1760617319275,169,474,80106,
1760617319753,172,474,81528,
1760617320280,173,473,81829,
1760617322688,180,472,84960,
1760617323709,175,472,82600,
1760617324210,242,473,114466,
1760617324752,227,473,107371,
1760617325245,201,473,95073,
1760617325749,200,473,94600,
1760617326240,198,472,93456,
1760617326743,207,472,97704,
1760617327226,211,472,99592,
1760617327657,195,474,92430,
1760617328171,191,473,90343,
1760617328714,187,473,88451,
1760617329213,211,473,99803,
1760617329724,217,473,102641,
1760617330232,238,474,112812,
1760617330747,224,473,105952,
1760617331278,204,472,96288,
1760617331780,217,473,102641,
1760617332318,203,473,96019,
1760617332777,200,472,94400,
1760617333297,193,474,91482,
1760617333782,150,475,71250,
1760617334803,139,473,65747,
1760617335299,141,472,66552,
1760617335804,146,473,69058,
1760617336312,143,473,67639,
1760617336844,141,470,66270,
1760617337332,141,472,66552,
1760617337834,144,473,68112,
1760617338318,145,473,68585,
1760617338808,146,473,69058,
1760617339301,151,474,71574,
1760617339812,150,474,71100,
1760617340307,148,473,70004,
1760617340814,147,473,69531,
1760617341331,145,473,68585,
1760617341882,144,473,68112,
1760617342375,134,473,63382,
1760617343349,116,473,54868,
1760617343834,119,473,56287,
1760617344362,114,473,53922,
1760617345783,119,472,56168,
1760617346263,120,472,56640,
1760617347211,118,472,55696,
1760617347692,128,474,60672,
1760617348177,165,472,77880,
1760617348716,161,472,75992,
1760617349198,161,471,75831,
1760617349714,146,470,68620,
1760617350201,146,472,68912,
1760617350688,140,471,65940,
1760617351151,181,473,85613,
1760617351707,172,472,81184,
1760617352173,175,472,82600,
1760617352655,177,472,83544,
1760617353100,182,472,85904,
1760617354148,215,474,101910,
1760617355081,180,472,84960,
1760617355557,169,472,79768,
1760617356066,161,473,76153,
1760617356569,166,473,78518,
1760617357507,186,472,87792,
1760617358022,198,472,93456,
1760617358475,209,473,98857,
1760617358992,211,473,99803,
1760617359502,194,473,91762,
1760617360025,176,473,83248,
1760617360517,186,474,88164,
1760617361037,185,473,87505,
1760617361541,183,473,86559,
1760617362074,184,473,87032,
1760617362576,183,472,86376,
1760617363104,184,473,87032,
1760617363603,183,473,86559,
1760617364104,193,474,91482,
1760617364629,182,474,86268,
1760617365100,183,474,86742,
1760617365601,185,475,87875,
1760617366108,187,474,88638,
1760617366602,184,473,87032,
1760617367105,174,473,82302,
1760617367599,168,473,79464,
1760617368149,160,473,75680,
1760617368618,156,472,73632,
1760617369112,170,472,80240,
1760617369585,163,473,77099,
1760617370094,159,474,75366,
1760617370613,152,471,71592,
1760617371150,129,473,61017,
1760617371643,130,471,61230,
1760617374918,133,471,62643,
1760617375438,134,472,63248,
1760617375959,133,472,62776,
1760617376437,133,471,62643,
1760617376925,133,471,62643,
1760617377893,126,474,59724,
1760617378394,114,476,54264,
1760617378895,115,476,54740,
1760617379359,114,476,54264,
1760617401119,164,475,77900,
1760617403584,166,474,78684,
1760617404102,164,475,77900,
1760617404579,163,475,77425,
1760617405080,156,475,74100,
1760617412202,157,473,74261,
1760617412718,157,474,74418,
1760617413169,153,474,72522,
1760617413683,147,472,69384,
1760617414174,148,472,69856,
1760617415199,172,474,81528,
1760617415691,179,474,84846,
1760617420586,190,474,90060,
1760617430273,125,473,59125,
1760617430796,151,473,71423,
1760617431309,215,474,101910,
1761286012672,192,465,89280,
1761286013380,193,453,87429,
1761286014067,182,451,82082,
1761286014745,185,455,84175,
1761286015373,156,452,70512,
1761286016026,126,463,58338,
1761286016675,119,458,54502,
1761286017352,119,455,54145,
1761286018006,118,454,53572,
1761286018676,117,454,53118,
1761286019329,115,455,52325,
1761286019994,113,456,51528,
1761286020653,115,456,52440,
1761286021353,115,456,52440,
1761286021986,116,457,53012,
1761286022667,113,457,51641,
1761286023323,111,457,50727,
1761286024000,112,461,51632,
1761286024614,114,462,52668,
1761286025269,110,459,50490,
1761286025932,108,460,49680,
1761286026555,108,460,49680,
1761286027180,111,457,50727,
1761286027854,114,453,51642,
1761286028491,117,449,52533,
1761286029166,118,452,53336,
1761286029827,154,471,72534,
1761286030473,160,472,75520,
1761286031115,163,469,76447,
1761286031746,176,466,82016,
1761286032386,174,460,80040,
1761286033043,174,460,80040,
1761286033723,167,470,78490,
1761286034401,189,460,86940,
1761286035016,170,452,76840,
1761286035682,159,450,71550,
1761286036337,140,448,62720,
1761286037053,139,457,63523,
1761286037742,126,459,57834,
1761286038375,112,444,49728,
1761286039054,115,441,50715,
1761286039720,134,448,60032,
1761286040392,123,440,54120,
1761286041074,115,443,50945,
1761286041781,110,447,49170,
