Frame_Number,Width_Pixels,Height_Pixels,Area_Pixels,Depth_mm
1761286372235,296,472,139712,
1761286374802,178,456,81168,
1761286375506,135,460,62100,
1761286376111,165,462,76230,
1761286376790,168,467,78456,
1761286377486,172,472,81184,
1761286378093,166,472,78352,
1761286378763,160,473,75680,
1761286379463,156,473,73788,
1761286380164,160,448,71680,
1761286380859,163,443,72209,
1761286381490,165,422,69630,
1761286382191,163,418,68134,
1761286382842,155,473,73315,
1761286383427,155,471,73005,
1761286384090,154,471,72534,
1761286384779,153,471,72063,
1761286385456,154,473,72842,
1761286386151,155,473,73315,
1761286386834,156,463,72228,
1761286387510,155,463,71765,
1761286388181,154,462,71148,
1761286388874,147,456,67032,
1761286389503,148,458,67784,
1761286390196,158,456,72048,
1761286390851,156,457,71292,
1761286391520,155,453,70215,
1761286392218,146,448,65408,
1761286392905,157,444,69708,
1761286393564,149,445,66305,
1761286394268,146,443,64678,
1761286394952,151,455,68705,
1761286395649,144,456,65664,
1761286396299,143,456,65208,
1761286397002,148,454,67192,
1761286397695,149,457,68093,
1761286398352,149,457,68093,
1761286399011,150,456,68400,
1761286399687,154,454,69916,
1761286400365,152,457,69464,
1761286401033,150,456,68400,
1761286401663,152,453,68856,
1761286402314,152,455,69160,
1761286402987,156,456,71136,
1761286408069,159,458,72822,
1761286408730,155,457,70835,
1761286409384,156,459,71604,
1761286410082,155,459,71145,
1761286410750,159,460,73140,
1761286411424,160,462,73920,
1761286412082,159,461,73299,
1761286412763,159,460,73140,
1761286413421,155,457,70835,
1761286414088,154,461,70994,
1761286414760,159,460,73140,
1761286415424,161,461,74221,
1761286416102,157,462,72534,
1761286416777,151,461,69611,
1761286417432,153,463,70839,
1761286418128,157,454,71278,
1761286418825,171,446,76266,
1761286419497,180,445,80100,
1761286420135,183,438,80154,
1761286420783,148,447,66156,
1761286421456,153,461,70533,
1761286422127,156,466,72696,
1761286422792,152,465,70680,
1761286423450,142,469,66598,
1761286424151,131,465,60915,
1761286424845,130,447,58110,
1761286425520,113,459,51867,
1761286426202,99,463,45837,
1761286426829,107,465,49755,
1761286427508,103,466,47998,
1761286428153,108,463,50004,
1761286428801,108,463,50004,
1761286429504,117,459,53703,
1761286430207,101,464,46864,
1761286430838,95,470,44650,
1761286431490,101,467,47167,
1761286432149,96,470,45120,
1761286432816,97,471,45687,
1761286434155,99,469,46431,
1761286434813,98,469,45962,
1761286435514,97,467,45299,
1761286436218,96,467,44832,
1761286436922,100,465,46500,
1761286437659,119,468,55692,
1761286438347,131,471,61701,
1761286439063,126,473,59598,
1761286439739,159,472,75048,
1761286440420,140,467,65380,
1761286441096,146,467,68182,
1761286441795,128,472,60416,
1761286442455,122,472,57584,
1761286443127,127,472,59944,
1761286443801,120,472,56640,
1761286444471,144,474,68256,
1761286445133,146,473,69058,
1761286445827,124,473,58652,
1761286446546,134,472,63248,
1761286447182,125,472,59000,
1761286447865,148,472,69856,
1761286448507,157,473,74261,
1761286449115,171,473,80883,
1761286449818,160,473,75680,
1761286450515,148,468,69264,
1761286451722,134,467,62578,
1761286452400,164,473,77572,
1761286452979,129,470,60630,
1761286453655,142,468,66456,
1761286454328,130,471,61230,
1761286455043,125,472,59000,
1761286455725,123,471,57933,
1761286456397,115,463,53245,
1761286457134,112,471,52752,
1761286457831,121,472,57112,
1761286458515,126,472,59472,
1761286459227,124,472,58528,
1761286459894,154,465,71610,
1761286460526,154,448,68992,
1761286461207,149,455,67795,
1761286461906,139,463,64357,
1761286462613,135,469,63315,
1761286463277,124,475,58900,
1761286467624,106,473,50138,
1761286468259,119,474,56406,
1761286469498,134,472,63248,
1761286470151,119,458,54502,
1761286470894,130,462,60060,
1761286471568,123,463,56949,
1761286472255,139,454,63106,
1761286472935,110,443,48730,
1761286473592,107,456,48792,
1761286474247,106,454,48124,
1761286474819,102,454,46308,
1761286475508,102,453,46206,
1761286476146,112,445,49840,
1761286476775,113,442,49946,
1761286477466,110,450,49500,
1761286478067,121,435,52635,
1761286478768,125,421,52625,
1761286479451,131,424,55544,
1761286480133,134,425,56950,
1761286480828,116,421,48836,
1761286481514,119,445,52955,
1761286482145,112,447,50064,
1761286482799,112,450,50400,
1761286483474,117,450,52650,
1761286484153,130,445,57850,
1761286484832,142,448,63616,
1761286485491,142,447,63474,
1761286486202,150,449,67350,
1761286486897,150,436,65400,
1761286487572,154,435,66990,
1761286488274,149,429,63921,
1761286488926,143,417,59631,
1761286489595,150,414,62100,
1761286490269,149,421,62729,
1761286490957,148,422,62456,
1761286491649,139,444,61716,
1761286492494,147,447,65709,
1761286493094,145,446,64670,
1761286493797,143,448,64064,
1761286494499,135,452,61020,
1761286495151,138,450,62100,
1761286495846,135,450,60750,
1761286496552,136,449,61064,
1761286497238,140,450,63000,
1761286497935,142,451,64042,
1761286498651,133,447,59451,
1761286499349,125,452,56500,
1761286500033,99,448,44352,
1761286500702,110,450,49500,
1761286501373,106,449,47594,
1761286502072,109,448,48832,
1761286502786,107,448,47936,
1761286503476,101,449,45349,
1761286504141,92,448,41216,
1761286504811,90,447,40230,
1761286505555,91,444,40404,
1761286506203,86,448,38528,
1761286506858,87,453,39411,
1761286507559,84,450,37800,
1761286508251,84,448,37632,
1761286508895,85,450,38250,
1761286509543,84,449,37716,
1761286510255,87,449,39063,
1761286510924,87,449,39063,
1761286511608,87,448,38976,
1761286512302,88,449,39512,
1761286512961,85,449,38165,
1761286513614,87,439,38193,
1761286514281,100,446,44600,
1761286514897,118,458,54044,
1761286515583,129,457,58953,
1761286516291,123,452,55596,
1761286516987,125,451,56375,
1761286517643,126,450,56700,
1761286518323,124,452,56048,
1761286519032,127,450,57150,
1761286519735,127,449,57023,
1761286520409,129,449,57921,
1761286521058,133,448,59584,
1761286521739,125,450,56250,
1761286522416,125,451,56375,
1761286523056,126,451,56826,
1761286523706,126,451,56826,
1761286524390,126,450,56700,
1761286525057,124,450,55800,
1761286525662,126,449,56574,
1761286526344,123,449,55227,
1761286527024,125,449,56125,
1761286527684,125,449,56125,
1761286528392,124,448,55552,
1761286529081,124,449,55676,
1761286529759,125,443,55375,
1761286530435,137,447,61239,
1761286531145,157,451,70807,
1761286531779,155,453,70215,
1761286532492,150,455,68250,
1761286533171,146,455,66430,
1761286533820,146,454,66284,
1761286534516,146,453,66138,
1761286535247,152,450,68400,
1761286535917,163,444,72372,
1761286537255,153,451,69003,
1761286537939,146,455,66430,
1761286538562,145,456,66120,
1761286539250,140,456,63840,
1761286539932,146,462,67452,
1761286540552,157,468,73476,
1761286543167,155,471,73005,
1761286543813,143,452,64636,
1761286544547,152,447,67944,
1761286545255,150,448,67200,
1761286546547,138,452,62376,
1761286547201,137,453,62061,
1761286547911,132,454,59928,
1761286548587,130,453,58890,
1761286549269,130,453,58890,
1761286549979,130,452,58760,
1761286550653,133,452,60116,
1761286551327,163,452,73676,
1761286552012,144,453,65232,
1761286552633,140,453,63420,
1761286553334,141,452,63732,
1761286554603,140,454,63560,
1761286560226,119,464,55216,
1761286560913,122,472,57584,
1761286561627,122,473,57706,
1761286562283,117,472,55224,
1761286562899,123,473,58179,
1761286563550,122,472,57584,
1761286564141,123,470,57810,
1761286564850,111,472,52392,
1761286565482,144,467,67248,
1761286566138,151,469,70819,
1761286566828,145,472,68440,
1761286567489,142,473,67166,
1761286568189,121,473,57233,
1761286571966,157,450,70650,
1761286572606,143,447,63921,
1761286573256,137,457,62609,
1761286573942,144,457,65808,
1761286574608,122,468,57096,
1761286575303,118,471,55578,
1761286575960,123,473,58179,
1761286576708,111,474,52614,
1761286577399,108,473,51084,
1761286578089,108,473,51084,
1761286578681,108,474,51192,
1761286579378,109,474,51666,
1761286580058,109,474,51666,
1761286580793,109,474,51666,
1761286581464,108,474,51192,
1761286582138,109,474,51666,
1761286582825,110,474,52140,
1761286583537,108,473,51084,
1761286584202,109,472,51448,
1761286584866,114,472,53808,
1761286585525,122,473,57706,
1761286586182,111,473,52503,
1761286586869,103,458,47174,
1761286587578,115,465,53475,
1761286588245,119,469,55811,
1761286588938,126,468,58968,
1761286589638,131,470,61570,
1761286590304,130,472,61360,
1761286591017,126,470,59220,
1761286591676,137,471,64527,
1761286592361,142,464,65888,
1761286593033,153,467,71451,
1761286593675,163,465,75795,
1761286594233,153,462,70686,
1761286594924,153,461,70533,
1761286595629,154,461,70994,
1761286596294,156,462,72072,
1761286596916,172,460,79120,
1761286597655,176,459,80784,
1761286598305,154,459,70686,
1761286599029,112,472,52864,
1761286600352,93,455,42315,
1761286601027,120,472,56640,
1761286601723,134,473,63382,
1761286602401,137,468,64116,
1761286603079,148,470,69560,
1761286603744,173,473,81829,
1761286657707,142,447,63474,
1761286659663,133,452,60116,
1761286660340,129,451,58179,
1761286661017,128,449,57472,
1761286661712,128,448,57344,
1761286662362,130,450,58500,
1761286663077,133,458,60914,
1761286670604,129,457,58953,
1761286671920,152,474,72048,
1761286672627,147,474,69678,
1761286673281,139,474,65886,
1761286676396,137,473,64801,
1761286677023,156,474,73944,
1761286677678,155,474,73470,
1761286678374,154,474,72996,
1761286678999,99,475,47025,
1761286679654,98,475,46550,
1761286680220,98,474,46452,
1761286680770,101,472,47672,
1761286681488,113,473,53449,
1761286682204,143,475,67925,
1761286682871,146,474,69204,
1761286683530,147,474,69678,
1761286684225,148,474,70152,
1761286684857,147,474,69678,
1761286685463,140,473,66220,
1761286686103,144,473,68112,
1761286686771,148,474,70152,
1761286687456,142,474,67308,
1761286688094,148,473,70004,
1761286688771,154,475,73150,
1761286689424,158,471,74418,
1761286690073,159,473,75207,
1761286690744,167,473,78991,
1761286691391,176,469,82544,
1761286692032,157,473,74261,
1761286692705,164,473,77572,
1761286693392,177,473,83721,
1761286694078,167,474,79158,
1761286694700,158,473,74734,
1761286695282,164,474,77736,
1761286695851,170,474,80580,
1761286696536,170,474,80580,
1761286697186,165,473,78045,
1761286697813,168,474,79632,
1761286698526,165,474,78210,
1761286699154,164,473,77572,
1761286699742,156,473,73788,
1761286700382,146,472,68912,
1761286701057,144,473,68112,
1761286701639,118,472,55696,
1761286702289,125,470,58750,
1761286702948,119,469,55811,
1761286703626,130,465,60450,
1761286704273,124,466,57784,
1761286704910,123,467,57441,
1761286705581,139,462,64218,
1761286706228,136,462,62832,
1761286706847,140,462,64680,
1761286707523,139,463,64357,
1761286708120,140,462,64680,
1761286708829,139,460,63940,
